sample_id,site_name,latitude,longitude,age_BP,richness,shannon_H,evenness,openness,pollen_sum,roc_chord
391279,Lake Ruila,59.175,24.43111,3821.0,10.0,1.8270117699024968,0.7934611300409479,0.015281757402101243,100.0,0.10259514425638645
391280,Lake Ruila,59.175,24.43111,3964.0,11.0,2.0588319399722583,0.8585996074672512,0.014450867052023123,100.0,0.42514318361681036
391281,Lake Ruila,59.175,24.43111,4104.0,11.0,2.035594067266777,0.8489086618412722,0.013013013013013016,100.00000000000003,0.23254759039232845
391282,Lake Ruila,59.175,24.43111,4245.0,9.0,1.8533935790830522,0.8435157690298518,0.005802707930367506,100.00000000000003,0.3552522643797702
391283,Lake Ruila,59.175,24.43111,4385.0,11.0,2.110797975900418,0.8802711277032099,0.03228869895536563,100.00000000000003,0.17497931311631684
391284,Lake Ruila,59.175,24.43111,4525.0,9.0,2.0309673852415138,0.9243330910232828,0.013320647002854426,100.0,0.17080106734852027
391285,Lake Ruila,59.175,24.43111,4666.0,11.0,2.091657780700572,0.8722890463266912,0.02824858757062147,99.99999999999997,0.2512252555010428
391286,Lake Ruila,59.175,24.43111,4806.0,10.0,2.020260631224087,0.8773880441470013,0.017707362534948746,100.0,0.1998261541379673
391287,Lake Ruila,59.175,24.43111,5179.0,11.0,1.9661852492327803,0.8199629364706241,0.025399811853245538,100.0,0.2751839127266399
391288,Lake Ruila,59.175,24.43111,5657.0,8.0,1.7973437627019788,0.8643396444076183,0.013435700575815739,99.99999999999997,0.2891606114858531
391289,Lake Ruila,59.175,24.43111,6135.0,10.0,1.8701445527679095,0.8121934596285277,0.024096385542168676,100.00000000000004,0.1836279772113315
391290,Lake Ruila,59.175,24.43111,6387.0,8.0,1.809274867088154,0.8700772927843728,0.009345794392523364,100.0,0.29753469337138183
391291,Lake Ruila,59.175,24.43111,6623.0,9.0,1.809489074790256,0.823533968013397,0.017208413001912053,100.00000000000003,0.16004734312575675
391292,Lake Ruila,59.175,24.43111,6865.0,7.0,1.6835225407749992,0.8651594430463831,0.01403180542563143,100.0,0.3369996525662766
391293,Lake Ruila,59.175,24.43111,7184.0,7.0,1.3410053601361447,0.6891404316829154,0.02138057422113622,100.0,0.5236002472194508
